Round,GP Name,Position,Driver No,Driver,Points,Championship Won
8,Grand Prix de Monaco,15,23,Alexander Albon,2,false
8,Grand Prix de Monaco,16,31,Esteban Ocon,1,false
8,Grand Prix de Monaco,17,20,Kevin Magnussen,1,false
8,Grand Prix de Monaco,18,10,Pierre Gasly,1,false
8,Grand Prix de Monaco,19,24,Guanyu Zhou,0,false
8,Grand Prix de Monaco,20,77,Valtteri Bottas,0,false
8,Grand Prix de Monaco,21,2,Logan Sargeant,0,false
9,AWS Grand Prix du Canada,1,1,Max Verstappen,194,false
9,AWS Grand Prix du Canada,2,16,Charles Leclerc,138,false
9,AWS Grand Prix du Canada,3,4,Lando Norris,131,false
9,AWS Grand Prix du Canada,4,55,Carlos Sainz,108,false
9,AWS Grand Prix du Canada,5,11,Sergio Perez,107,false
9,AWS Grand Prix du Canada,6,81,Oscar Piastri,81,false
9,AWS Grand Prix du Canada,7,63,George Russell,69,false
9,AWS Grand Prix du Canada,8,44,Lewis Hamilton,55,false
9,AWS Grand Prix du Canada,9,14,Fernando Alonso,41,false
9,AWS Grand Prix du Canada,10,22,Yuki Tsunoda,19,false
9,AWS Grand Prix du Canada,11,18,Lance Stroll,17,false
9,AWS Grand Prix du Canada,12,3,Daniel Ricciardo,9,false
9,AWS Grand Prix du Canada,13,50,Oliver Bearman,6,false
9,AWS Grand Prix du Canada,14,27,Nico Hulkenberg,6,false
9,AWS Grand Prix du Canada,15,10,Pierre Gasly,3,false
9,AWS Grand Prix du Canada,16,23,Alexander Albon,2,false
9,AWS Grand Prix du Canada,17,31,Esteban Ocon,2,false
9,AWS Grand Prix du Canada,18,20,Kevin Magnussen,1,false
9,AWS Grand Prix du Canada,19,24,Guanyu Zhou,0,false
9,AWS Grand Prix du Canada,20,77,Valtteri Bottas,0,false
9,AWS Grand Prix du Canada,21,2,Logan Sargeant,0,false
10,Aramco Gran Premio de España,1,1,Max Verstappen,219,false
10,Aramco Gran Premio de España,2,4,Lando Norris,150,false
10,Aramco Gran Premio de España,3,16,Charles Leclerc,148,false
10,Aramco Gran Premio de España,4,55,Carlos Sainz,116,false
10,Aramco Gran Premio de España,5,11,Sergio Perez,111,false
10,Aramco Gran Premio de España,6,81,Oscar Piastri,87,false
10,Aramco Gran Premio de España,7,63,George Russell,81,false
10,Aramco Gran Premio de España,8,44,Lewis Hamilton,70,false
10,Aramco Gran Premio de España,9,14,Fernando Alonso,41,false
10,Aramco Gran Premio de España,10,22,Yuki Tsunoda,19,false
10,Aramco Gran Premio de España,11,18,Lance Stroll,17,false
10,Aramco Gran Premio de España,12,3,Daniel Ricciardo,9,false
10,Aramco Gran Premio de España,13,50,Oliver Bearman,6,false
10,Aramco Gran Premio de España,14,27,Nico Hulkenberg,6,false
10,Aramco Gran Premio de España,15,10,Pierre Gasly,5,false
10,Aramco Gran Premio de España,16,31,Esteban Ocon,3,false
10,Aramco Gran Premio de España,17,23,Alexander Albon,2,false
10,Aramco Gran Premio de España,18,20,Kevin Magnussen,1,false
10,Aramco Gran Premio de España,19,24,Guanyu Zhou,0,false
10,Aramco Gran Premio de España,20,77,Valtteri Bottas,0,false
10,Aramco Gran Premio de España,21,2,Logan Sargeant,0,false
11,Qatar Airways Austrian GP,1,1,Max Verstappen,237,false
11,Qatar Airways Austrian GP,2,4,Lando Norris,156,false
11,Qatar Airways Austrian GP,3,16,Charles Leclerc,150,false
11,Qatar Airways Austrian GP,4,55,Carlos Sainz,135,false
11,Qatar Airways Austrian GP,5,11,Sergio Perez,118,false
11,Qatar Airways Austrian GP,6,81,Oscar Piastri,112,false
11,Qatar Airways Austrian GP,7,63,George Russell,111,false
11,Qatar Airways Austrian GP,8,44,Lewis Hamilton,85,false
11,Qatar Airways Austrian GP,9,14,Fernando Alonso,41,false
11,Qatar Airways Austrian GP,10,22,Yuki Tsunoda,19,false
11,Qatar Airways Austrian GP,11,18,Lance Stroll,17,false
11,Qatar Airways Austrian GP,12,27,Nico Hulkenberg,14,false
11,Qatar Airways Austrian GP,13,3,Daniel Ricciardo,11,false
11,Qatar Airways Austrian GP,14,50,Oliver Bearman,6,false
11,Qatar Airways Austrian GP,15,10,Pierre Gasly,6,false
11,Qatar Airways Austrian GP,16,20,Kevin Magnussen,5,false
11,Qatar Airways Austrian GP,17,31,Esteban Ocon,3,false
11,Qatar Airways Austrian GP,18,23,Alexander Albon,2,false
11,Qatar Airways Austrian GP,19,24,Guanyu Zhou,0,false
11,Qatar Airways Austrian GP,20,77,Valtteri Bottas,0,false
11,Qatar Airways Austrian GP,21,2,Logan Sargeant,0,false
12,Qatar Airways British GP,1,1,Max Verstappen,255,false
12,Qatar Airways British GP,2,4,Lando Norris,171,false
12,Qatar Airways British GP,3,16,Charles Leclerc,150,false
12,Qatar Airways British GP,4,55,Carlos Sainz,146,false
12,Qatar Airways British GP,5,81,Oscar Piastri,124,false
12,Qatar Airways British GP,6,11,Sergio Perez,118,false
12,Qatar Airways British GP,7,63,George Russell,111,false
12,Qatar Airways British GP,8,44,Lewis Hamilton,110,false
12,Qatar Airways British GP,9,14,Fernando Alonso,45,false
12,Qatar Airways British GP,10,18,Lance Stroll,23,false
12,Qatar Airways British GP,11,27,Nico Hulkenberg,22,false
12,Qatar Airways British GP,12,22,Yuki Tsunoda,20,false
12,Qatar Airways British GP,13,3,Daniel Ricciardo,11,false
12,Qatar Airways British GP,14,50,Oliver Bearman,6,false
12,Qatar Airways British GP,15,10,Pierre Gasly,6,false
12,Qatar Airways British GP,16,20,Kevin Magnussen,5,false
12,Qatar Airways British GP,17,23,Alexander Albon,4,false
12,Qatar Airways British GP,18,31,Esteban Ocon,3,false
12,Qatar Airways British GP,19,24,Guanyu Zhou,0,false
12,Qatar Airways British GP,20,2,Logan Sargeant,0,false
12,Qatar Airways British GP,21,77,Valtteri Bottas,0,false
13,Hungarian GP,1,1,Max Verstappen,265,false
13,Hungarian GP,2,4,Lando Norris,189,false
13,Hungarian GP,3,16,Charles Leclerc,162,false
13,Hungarian GP,4,55,Carlos Sainz,154,false
13,Hungarian GP,5,81,Oscar Piastri,149,false
13,Hungarian GP,6,44,Lewis Hamilton,125,false
13,Hungarian GP,7,11,Sergio Perez,124,false
13,Hungarian GP,8,63,George Russell,116,false
13,Hungarian GP,9,14,Fernando Alonso,45,false
13,Hungarian GP,10,18,Lance Stroll,24,false
13,Hungarian GP,11,27,Nico Hulkenberg,22,false
13,Hungarian GP,12,22,Yuki Tsunoda,22,false
13,Hungarian GP,13,3,Daniel Ricciardo,11,false
13,Hungarian GP,14,50,Oliver Bearman,6,false
13,Hungarian GP,15,10,Pierre Gasly,6,false
13,Hungarian GP,16,20,Kevin Magnussen,5,false
13,Hungarian GP,17,23,Alexander Albon,4,false
13,Hungarian GP,18,31,Esteban Ocon,3,false
13,Hungarian GP,19,24,Guanyu Zhou,0,false
13,Hungarian GP,20,2,Logan Sargeant,0,false
13,Hungarian GP,21,77,Valtteri Bottas,0,false
14,Rolex Belgian GP,1,1,Max Verstappen,277,false
14,Rolex Belgian GP,2,4,Lando Norris,199,false
14,Rolex Belgian GP,3,16,Charles Leclerc,177,false
14,Rolex Belgian GP,4,81,Oscar Piastri,167,false
14,Rolex Belgian GP,5,55,Carlos Sainz,162,false
14,Rolex Belgian GP,6,44,Lewis Hamilton,150,false
14,Rolex Belgian GP,7,11,Sergio Perez,131,false
14,Rolex Belgian GP,8,63,George Russell,116,false
